;Name;Status;2016;2017;2018;2019;2020
Điện Biên;Mường Nhé;District;41806.18075;43074.26734;44380.81818;45727;47073.18182
Điện Biên;Nậm Pồ;District;50195.37326;51719.50191;53289.90909;54908;56526.09091
Điện Biên;Tủa Chùa;District;54727.84858;55623.81745;56534.45455;57460;58385.54545
Điện Biên;Tuần Giáo;District;84159.0555;85382.49862;86623.72727;87883;89142.27273
Đồng Nai;Đồng Nai;Province;2933453.69346;2987020.67004;3041565.81818;3097107;3152648.18182
Đồng Nai;Biên Hòa;District-level City;986713.55622;1009101.87592;1031998.18182;1055414;1078829.81818
Đồng Nai;Cẩm Mỹ;District;138955.48681;139090.85928;139226.36364;139362;139497.63636
Đồng Nai;Định Quán;District;188408.33727;188040.17256;187672.72727;187306;186939.27273
Đồng Nai;Long Khánh;District-level Town;145874.63693;147715.43123;149579.45455;151467;153354.54545
Đồng Nai;Long Thành;District;231366.05288;236160.97683;241055.27273;246051;251046.72727
Đồng Nai;Nhơn Trạch;District;233666.71986;242317.58632;251288.72727;260592;269895.27273
Đồng Nai;Tân Phú;District;153857.49442;153597.89183;153338.72727;153080;152821.27273
Đồng Nai;Thống Nhất;District;159319.44061;160833.52579;162362;163905;165448
Đồng Nai;Trảng Bom;District;321792.39131;330705.44006;339865.36364;349279;358692.63636
Đồng Nai;Vĩnh Cửu;District;153571.16325;156972.55001;160449.27273;164003;167556.72727
Đồng Nai;Xuân Lộc;District;220941.75126;222827.69016;224729.72727;226648;228566.27273
Đồng Tháp;Đồng Tháp;Province;1617836.23023;1611702.25947;1605591.54545;1599504;1593416.45455
Đồng Tháp;Cao Lãnh;District;198453.82326;198173.48636;197893.54545;197614;197334.45455
Đồng Tháp;Cao Lãnh;District-level City;163870.61416;164191.44755;164512.90909;164835;165157.09091
Đồng Tháp;Châu Thành;District;147939.6019;147562.77558;147186.90909;146812;146437.09091
Đồng Tháp;Hồng Ngự;District;127139.80683;124911.37408;122722;120571;118420
Đồng Tháp;Hồng Ngự;District-level Town;76809.70755;76693.6297;76577.72727;76462;76346.27273
Đồng Tháp;Lai Vung;District;163091.50569;163473.44199;163856.27273;164240;164623.72727
Đồng Tháp;Lấp Vò;District;180462.59536;180517.38027;180572.18182;180627;180681.81818
Đồng Tháp;Sa Đéc;District-level City;105486.41347;105723.07761;105960.27273;106198;106435.72727
Đồng Tháp;Tam Nông;District;101446.05374;100960.0445;100476.36364;99995;99513.63636
Đồng Tháp;Tân Hồng;District;79773.46045;78307.53393;76868.54545;75456;74043.45455
Đồng Tháp;Thanh Bình;District;140232.31337;138432.88448;136656.54545;134903;133149.45455
Đồng Tháp;Tháp Mười;District;133348.91696;132827.57572;132308.27273;131791;131273.72727
Gia Lai;Gia Lai;Province;1449480.96662;1470626.33739;1492080.18182;1513847;1535613.81818
Gia Lai;An Khê;District-level Town;65226.88404;65456.44714;65686.81818;65918;66149.18182
Gia Lai;Ayun Pa;District-level Town;38575.56525;39023.81465;39477.27273;39936;40394.72727
Gia Lai;Chư Păh;District;74607.93787;75494.38464;76391.36364;77299;78206.63636
Gia Lai;Chư Prông;District;116680.23723;118928.23601;121219.54545;123555;125890.45455
